Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"checkBorderColor2 = verifyEqual(borderColor, ""rgb(240, 40, 73)"")",Firefox 129.0,,,2024-09-05 23:29:26,2024-09-05 23:29:26,0.003s,PASSED
println(borderColor2),Firefox 129.0,,,2024-09-05 23:29:26,2024-09-05 23:29:26,0.001s,PASSED
println(checkBorderColor2),Firefox 129.0,,,2024-09-05 23:29:26,2024-09-05 23:29:26,0.001s,PASSED
println(failedLogin2),Firefox 129.0,,,2024-09-05 23:29:26,2024-09-05 23:29:26,0.002s,PASSED
println(errorMessage2),Firefox 129.0,,,2024-09-05 23:29:26,2024-09-05 23:29:26,0.001s,PASSED
"if (checkBorderColor2 == ""true"" && failedLogin2.contains(""https://www.facebook.com/login/device-based/regular/login/?login_attempt="") && errorMessage2 == ""The email address or mobile number you entered isn't connected to an account. Find your account and log in."")",Firefox 129.0,,,2024-09-05 23:29:26,2024-09-05 23:29:26,0.003s,PASSED
"setText(findTestObject(""Object Repository/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ccef60""), email)",Firefox 129.0,,,2024-09-05 23:29:26,2024-09-05 23:29:26,0.821s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Facebook  log in or sign up/input_Facebook helps you connect and share _ab63fc""), ""PNKhqrno+crZQceKVOcGnA=="")",Firefox 129.0,,,2024-09-05 23:29:26,2024-09-05 23:29:27,0.473s,PASSED
"click(findTestObject(""Object Repository/Page_Facebook  log in or sign up/button_Log in""))",Firefox 129.0,,,2024-09-05 23:29:27,2024-09-05 23:30:01,34.007s,PASSED
failedLogin3 = getUrl(),Firefox 129.0,,,2024-09-05 23:30:01,2024-09-05 23:30:01,0.017s,PASSED
"errorMessage3 = getText(findTestObject(""Object Repository/Page_1725545881244/errorMessage""))",Firefox 129.0,,,2024-09-05 23:30:01,2024-09-05 23:30:02,0.748s,PASSED
"borderColor3 = getCSSValue(findTestObject(""Object Repository/Page_1725545881244/borderEmail""), ""border-bottom-color"")",Firefox 129.0,,,2024-09-05 23:30:02,2024-09-05 23:30:02,0.525s,PASSED
"checkBorderColor3 = verifyEqual(borderColor, ""rgb(240, 40, 73)"")",Firefox 129.0,,,2024-09-05 23:30:02,2024-09-05 23:30:02,0.003s,PASSED
